sentence_id,sentence,code_switch,aspect,opinion,valence,arousal
187,ye kaam to manmohan singh ji hi kar skte hai kyonki vo future ke bare me sochte hai aap ke paas nafrat kaise falai jaye iske siva koi soch hai hi nhi ydi hoti na to aaj kisan bhai apne ghar pr hote na ki border pr baithe hote,ye:HI kaam:HI to:EN manmohan:HI singh:HI ji:HI hi:HI kar:HI skte:HI hai:HI kyonki:HI vo:HI future:EN ke:HI bare:HI me:HI sochte:HI hai:HI aap:HI ke:HI paas:HI nafrat:HI kaise:HI falai:HI jaye:HI iske:HI siva:HI koi:HI soch:HI hai:HI hi:HI nhi:HI ydi:HI hoti:HI na:HI to:HI aaj:HI kisan:HI bhai:HI apne:HI ghar:HI pr:EN hote:HI na:HI ki:HI border:EN pr:EN baithe:HI hote:HI,kaam,manmohan singh ji hi kar skte hai kyonki vo future ke bare me sochte hai,0.768,0.559
344,ye kesa pm h jo apne desh k logo k liye healthy anaj bhi nhi available kra pa rha h or apne advt m desh k logo ka paisa waist kiye ja rha h nhi sambhal rha h desh to kursi s utar kyu nhi jate ho 1947 m le jakr hi manoge kya utaro kursi s,ye:HI kesa:HI pm:EN h:EN jo:HI apne:HI desh:HI k:HI logo:EN k:HI liye:HI healthy:EN anaj:HI bhi:HI nhi:HI available:EN kra:HI pa:HI rha:HI h:EN or:EN apne:HI advt:HI m:EN desh:HI k:HI logo:EN ka:HI paisa:HI waist:EN kiye:HI ja:HI rha:HI h:EN nhi:HI sambhal:HI rha:HI h:EN desh:HI to:EN kursi:HI s:EN utar:HI kyu:HI nhi:HI jate:HI ho:HI 1947:EN m:EN le:HI jakr:HI hi:HI manoge:HI kya:HI utaro:HI kursi:HI s:EN,advt,desh k logo ka paisa waist kiye ja rha h,0.278,0.586
567,to tu hi to apne dharam se hata hai sikhs were the rulers of undivided punjab and j amp k mere laal history padh kaun bhikhari aur kaun raja,to:HI tu:HI hi:HI to:HI apne:HI dharam:HI se:HI hata:HI hai:HI sikhs:EN were:EN the:EN rulers:EN of:EN undivided:EN punjab:HI and:EN j:EN amp:EN k:HI mere:HI laal:HI history:EN padh:HI kaun:HI bhikhari:EN aur:HI kaun:HI raja:HI,dharam,apne dharam se hata hai,0.25,0.65
19,malik bhut riyaat ki hai apne wo pmln ko itna gira dainge k vote mangna be mushkil ho jayga ink ly pmln aik trf deal ar dosri trf inkalab dno lollipop aik sth khana chati hai jo mumkin ni,malik:HI bhut:HI riyaat:HI ki:HI hai:HI apne:HI wo:HI pmln:EN ko:HI itna:HI gira:HI dainge:HI k:HI vote:EN mangna:HI be:EN mushkil:HI ho:HI jayga:HI ink:EN ly:HI pmln:EN aik:HI trf:EN deal:EN ar:EN dosri:HI trf:EN inkalab:HI dno:EN lollipop:EN aik:HI sth:EN khana:HI chati:HI hai:HI jo:HI mumkin:HI ni:HI,pmln,dno lollipop aik sth khana chati hai jo mumkin ni,0.18,0.75
38,kashmir yhi socha or kha hoga mere pitaji rashtrwadi hai apne hindusthan or sanatan sanskriti ko bachane k liye yudh kr rhe hai,kashmir:HI yhi:HI socha:HI or:EN kha:HI hoga:HI mere:HI pitaji:HI rashtrwadi:HI hai:HI apne:HI hindusthan:EN or:EN sanatan:HI sanskriti:HI ko:HI bachane:HI k:HI liye:HI yudh:HI kr:EN rhe:HI hai:HI,hindusthan,bachane k liye yudh kr rhe hai,0.75,0.75
585,aap apni nazron ki fikr karo uss k parday ki fikr uss pe chorro sb apne apne amaal k zimedar hain hisaab kitab allah ka kaam hai aap ka ya mera nahi aur dilon ka haal b sirf allah janta hai apko munkir nakeer kisi ne nahi rakha hua k dusron ka swab o jaza ginte raho beth k,aap:HI apni:HI nazron:HI ki:HI fikr:HI karo:HI uss:HI k:HI parday:HI ki:HI fikr:HI uss:HI pe:HI chorro:HI sb:EN apne:HI apne:HI amaal:HI k:HI zimedar:HI hain:HI hisaab:HI kitab:HI allah:HI ka:HI kaam:HI hai:HI aap:HI ka:HI ya:HI mera:HI nahi:HI aur:HI dilon:HI ka:HI haal:HI b:EN sirf:HI allah:HI janta:HI hai:HI apko:HI munkir:HI nakeer:HI kisi:HI ne:HI nahi:HI rakha:HI hua:HI k:HI dusron:HI ka:HI swab:EN o:EN jaza:HI ginte:HI raho:HI beth:HI k:HI,nazron,apni nazron ki fikr karo,0.45,0.55
28,sid sidhearts ke pass itna time nhi h hm apne ideal me busy h but hote to itna sa markar insta pr rone ke layk nhi chodhte,sid:EN sidhearts:HI ke:HI pass:EN itna:HI time:EN nhi:HI h:EN hm:HI apne:HI ideal:EN me:HI busy:EN h:EN but:EN hote:HI to:HI itna:HI sa:HI markar:HI insta:EN pr:EN rone:HI ke:HI layk:HI nhi:HI chodhte:HI,ideal,busy h,0.526,0.475
506,hafeez ye jo mulk loot k bahir bhaag jatay hain or waha lavish life live ker ruhay hotay hain in ki sub se buri give away jo in ko expose ker daiti adut pata ha kia hoti self righteousness or ye us main itna indulged hotay hain k phir in ko hur bunda hi ghulat lugta apne siwa,hafeez:EN ye:HI jo:HI mulk:HI loot:EN k:HI bahir:HI bhaag:HI jatay:HI hain:HI or:EN waha:HI lavish:EN life:EN live:EN ker:HI ruhay:HI hotay:HI hain:HI in:EN ki:HI sub:EN se:HI buri:HI give:EN away:EN jo:HI in:EN ko:HI expose:EN ker:HI daiti:HI adut:HI pata:HI ha:HI kia:HI hoti:HI self:EN righteousness:EN or:EN ye:HI us:HI main:HI itna:HI indulged:EN hotay:HI hain:HI k:HI phir:HI in:EN ko:HI hur:HI bunda:EN hi:HI ghulat:HI lugta:HI apne:HI siwa:HI,self righteousness,itna indulged hotay hain k phir in ko hur bunda hi ghulat lugta apne siwa,0.442,0.773
576,esa karne walo ka kuch nhi ho skta upper caste dusro se jalne me he barbaad ho seats hoti h unke liye ye pdh nhi pate jo reserved h uspe tym waste krte h bahana mil gya apne inability chupane ka,esa:HI karne:HI walo:HI ka:HI kuch:HI nhi:HI ho:HI skta:HI upper:EN caste:EN dusro:HI se:HI jalne:HI me:HI he:HI barbaad:HI ho:HI seats:EN hoti:HI h:EN unke:HI liye:HI ye:HI pdh:EN nhi:HI pate:HI jo:HI reserved:EN h:EN uspe:HI tym:HI waste:EN krte:HI h:EN bahana:HI mil:HI gya:HI apne:HI inability:EN chupane:HI ka:HI,upper caste,dusro se jalne me he barbaad,0.478,0.625
19,malik bhut riyaat ki hai apne wo pmln ko itna gira dainge k vote mangna be mushkil ho jayga ink ly pmln aik trf deal ar dosri trf inkalab dno lollipop aik sth khana chati hai jo mumkin ni,malik:HI bhut:HI riyaat:HI ki:HI hai:HI apne:HI wo:HI pmln:EN ko:HI itna:HI gira:HI dainge:HI k:HI vote:EN mangna:HI be:EN mushkil:HI ho:HI jayga:HI ink:EN ly:HI pmln:EN aik:HI trf:EN deal:EN ar:EN dosri:HI trf:EN inkalab:HI dno:EN lollipop:EN aik:HI sth:EN khana:HI chati:HI hai:HI jo:HI mumkin:HI ni:HI,vote mangna,mushkil ho jayga,0.2,0.65
587,major dhyanchand ko bharat ratna award na milna bharat ratna ka hi apmaan h ab koi farq nhi padta dhyanchand apne usoolon k liye bhi jaane jaate rahenge,major:EN dhyanchand:EN ko:HI bharat:HI ratna:HI award:EN na:HI milna:HI bharat:HI ratna:HI ka:HI hi:HI apmaan:HI h:EN ab:HI koi:HI farq:HI nhi:HI padta:HI dhyanchand:EN apne:HI usoolon:HI k:HI liye:HI bhi:HI jaane:HI jaate:HI rahenge:HI,Dhyanchand,apne usoolon k liye bhi jaane jaate rahenge,0.85,0.4
511,cricket bhai ek baat clear kar dun tum rohit ke fan hoge isliye negtv baat kar rhe ho main team india ka fan hoon mere liye virat rohit sekhar kl bhubi jasprit sab ek saman hai tum apna logic apne pass rkhna,cricket:EN bhai:HI ek:HI baat:HI clear:EN kar:HI dun:HI tum:HI rohit:HI ke:HI fan:EN hoge:HI isliye:HI negtv:HI baat:HI kar:HI rhe:HI ho:HI main:EN team:EN india:EN ka:HI fan:EN hoon:HI mere:HI liye:HI virat:HI rohit:HI sekhar:HI kl:EN bhubi:HI jasprit:HI sab:HI ek:HI saman:HI hai:HI tum:HI apna:HI logic:EN apne:HI pass:EN rkhna:HI,rohit,rohit ke fan hoge isliye negtv baat kar rhe ho,0.616,0.49
73,ind ye mandir masjid mein reh gaya bharat ka naam tabhi badhega jb development hoga satta nai desh sambhalna seekhao apne guruji ko,ind:EN ye:HI mandir:HI masjid:HI mein:HI reh:HI gaya:HI bharat:HI ka:HI naam:HI tabhi:HI badhega:HI jb:EN development:EN hoga:HI satta:HI nai:HI desh:HI sambhalna:HI seekhao:HI apne:HI guruji:HI ko:HI,guruji,satta nai desh sambhalna seekhao,0.15,0.75
111,poison girl tweets okh bye boy adorable sun baig11 mtlb me annay purii han kia pichli dfa shikayat ki bhai apne,poison:EN girl:EN tweets:EN okh:EN bye:EN boy:EN adorable:EN sun:HI baig11:HI mtlb:HI me:HI annay:HI purii:HI han:HI kia:HI pichli:HI dfa:EN shikayat:HI ki:HI bhai:HI apne:HI,tweets,poison girl tweets,0.291,0.58
18,jamaat walon par to kejriwal ko fir ki badi jaldi thi ab kal jo hua uska kya apne logon se laraya h jo koi dar h,jamaat:EN walon:HI par:HI to:EN kejriwal:EN ko:HI fir:HI ki:HI badi:HI jaldi:HI thi:HI ab:HI kal:HI jo:HI hua:HI uska:HI kya:HI apne:HI logon:HI se:HI laraya:HI h:EN jo:HI koi:HI dar:HI h:EN,kejriwal,apne logon se laraya h,0.2,0.75
59,teekhan pm iske leader ne abhi bhi apne handle mein cm rakha hua hai ye to phir pm tha,teekhan:HI pm:EN iske:HI leader:EN ne:HI abhi:HI bhi:HI apne:HI handle:EN mein:HI cm:EN rakha:HI hua:HI hai:HI ye:HI to:HI phir:HI pm:EN tha:HI,pm,ye to phir pm tha,0.25,0.62
343,sony walo humne tracker lga liya h apne andar app pr nazar h humari plz show dedo we want ipzn2,sony:EN walo:HI humne:HI tracker:EN lga:HI liya:HI h:EN apne:HI andar:HI app:EN pr:EN nazar:HI h:EN humari:HI plz:EN show:EN dedo:HI we:EN want:EN ipzn2:HI,show,plz show dedo,0.514,0.629
221,who has seen god food parmatma apne atmaon ko kabhi kasht nahin hone dete jo unki sharan mein hain call braham jo 84 lakh yoni mein dal ke rakhta hai hai vah unhen 84 lakh yoni se nikalne nahin deta purn parmatma unhen apni bhakti dekar nikale jaate hain gyan ganga padhen,who:EN has:EN seen:EN god:EN food:EN parmatma:EN apne:HI atmaon:HI ko:HI kabhi:HI kasht:HI nahin:HI hone:HI dete:HI jo:HI unki:HI sharan:HI mein:HI hain:HI call:EN braham:EN jo:HI 84:EN lakh:HI yoni:HI mein:HI dal:HI ke:HI rakhta:HI hai:HI hai:HI vah:HI unhen:HI 84:EN lakh:HI yoni:HI se:HI nikalne:HI nahin:HI deta:HI purn:HI parmatma:EN unhen:HI apni:HI bhakti:HI dekar:HI nikale:HI jaate:HI hain:HI gyan:HI ganga:HI padhen:HI,parmatma,apne atmaon ko kabhi kasht nahin hone dete,0.769,0.396
205,main apne boss or unke uncut dosto k sath hmesha krti hu,main:HI apne:HI boss:EN or:EN unke:HI uncut:EN dosto:HI k:HI sath:HI hmesha:HI krti:HI hu:HI,dosto,hmesha krti hu,0.45,0.3
466,india beta meri english thik h jake google translate kr le or rhi baat modi v un politician k naam htakar apne naam kr leta hai to fark kya rah gya dono me chokidar hi chor h na pta h na or ha english ka paisa tum duba diya yaar modi dudh ka dhula nhi h double stranded person h,india:EN beta:HI meri:HI english:EN thik:HI h:EN jake:HI google:EN translate:EN kr:EN le:HI or:EN rhi:HI baat:HI modi:HI v:EN un:HI politician:EN k:HI naam:HI htakar:HI apne:HI naam:HI kr:EN leta:HI hai:HI to:HI fark:HI kya:HI rah:HI gya:HI dono:HI me:HI chokidar:HI hi:HI chor:HI h:EN na:HI pta:HI h:EN na:HI or:EN ha:HI english:EN ka:HI paisa:HI tum:HI duba:HI diya:HI yaar:HI modi:HI dudh:HI ka:HI dhula:HI nhi:HI h:EN double:EN stranded:EN person:EN h:EN,modi,dudh ka dhula nhi h double stranded person h,0.319,0.575
573,tere jaise mandbudhi logo ko ab koi puchta nhi tumhara propaganda ye ghisa pita dialogue ab nhi chalega mere pyare ghonchumal isliye ab apne gyan ko dalo apni gand me shanti tum logo se nhi aa sakti tum logo se sirf gulami aa sakti ha jo pahle bhi aa chuki ha,tere:HI jaise:HI mandbudhi:HI logo:EN ko:HI ab:HI koi:HI puchta:HI nhi:HI tumhara:HI propaganda:EN ye:HI ghisa:EN pita:HI dialogue:EN ab:HI nhi:HI chalega:HI mere:HI pyare:HI ghonchumal:HI isliye:HI ab:HI apne:HI gyan:HI ko:HI dalo:HI apni:HI gand:HI me:HI shanti:HI tum:HI logo:EN se:HI nhi:HI aa:HI sakti:HI tum:HI logo:EN se:HI sirf:HI gulami:HI aa:HI sakti:HI ha:HI jo:HI pahle:HI bhi:HI aa:HI chuki:HI ha:HI,gyan,dalo apni gand me,0.02,0.85
272,nasir bhai unsai puchna keh pichle saal wali 12th class ko apne boht relief dia tha tamam subjects mai students ko pass kardya jaega koi fail nahi hua last year 12th ma aur 20 grace marks bhi diye tha yeh hamare sath nainsafi hai,nasir:HI bhai:HI unsai:HI puchna:HI keh:HI pichle:HI saal:HI wali:HI 12th:EN class:EN ko:HI apne:HI boht:HI relief:EN dia:EN tha:HI tamam:HI subjects:EN mai:HI students:EN ko:HI pass:EN kardya:HI jaega:HI koi:HI fail:EN nahi:HI hua:HI last:EN year:EN 12th:EN ma:HI aur:HI 20:EN grace:EN marks:EN bhi:HI diye:HI tha:HI yeh:HI hamare:HI sath:HI nainsafi:HI hai:HI,subjects,tamam subjects mai students ko pass kardya jaega,0.355,0.512
110,mko kya problem hogi apne squad ko boldo sid ko troll karna band kardo hum asim ko troll karna band kar denge,mko:EN kya:HI problem:EN hogi:HI apne:HI squad:EN ko:HI boldo:HI sid:EN ko:HI troll:EN karna:HI band:HI kardo:HI hum:HI asim:HI ko:HI troll:EN karna:HI band:HI kar:HI denge:HI,sid,troll karna band kardo,0.457,0.595
7,sanvee arre haan yaar agar ek baar hindu saare marne pe utre na to saale jo ye uchalte h na chup chap apne gharo me baithenge,sanvee:HI arre:HI haan:HI yaar:HI agar:HI ek:HI baar:HI hindu:EN saare:HI marne:HI pe:HI utre:HI na:HI to:HI saale:HI jo:HI ye:HI uchalte:HI h:EN na:HI chup:HI chap:EN apne:HI gharo:HI me:HI baithenge:HI,hindu,saare marne pe utre,0.25,0.85
44,haye haye vishal ji ko arshad ki bhot yad aari h request to neerajchopra ki apne javelin pe vishal ji ko bithake arshad k pas forever k liye bhejdo lt 3 bhot ehsan rahega deshwasio par aapka,haye:HI haye:HI vishal:HI ji:HI ko:HI arshad:HI ki:HI bhot:HI yad:HI aari:HI h:EN request:EN to:EN neerajchopra:HI ki:HI apne:HI javelin:EN pe:HI vishal:HI ji:HI ko:HI bithake:HI arshad:HI k:HI pas:HI forever:EN k:HI liye:HI bhejdo:HI lt:EN 3:EN bhot:HI ehsan:HI rahega:HI deshwasio:HI par:HI aapka:HI,vishal ji,javelin pe vishal ji ko bithake arshad k pas forever k liye bhejdo,0.15,0.75
6,when i send this i mean this haan maalum hai chal apne baap ko mat sikha,when:EN i:EN send:EN this:EN i:EN mean:EN this:EN haan:HI maalum:HI hai:HI chal:HI apne:HI baap:HI ko:HI mat:HI sikha:HI,sikha,haan maalum hai chal apne baap ko mat sikha,0.33,0.485
598,sir ap buhat sincere hai apne kaam ko leke no doubt but sir ek request hai jo b directives ap issue kre covid kelye uspr implementation b karwaye na tu pvt offices taiyar hai staff minimum bulane ko na apke govt office wale please apne govt office mai tu sops implement karwaale,sir:HI ap:HI buhat:HI sincere:EN hai:HI apne:HI kaam:HI ko:HI leke:HI no:EN doubt:EN but:EN sir:EN ek:HI request:EN hai:HI jo:HI b:EN directives:EN ap:HI issue:EN kre:HI covid:HI kelye:HI uspr:HI implementation:EN b:EN karwaye:HI na:HI tu:HI pvt:EN offices:EN taiyar:HI hai:HI staff:EN minimum:EN bulane:HI ko:HI na:HI apke:HI govt:EN office:EN wale:HI please:EN apne:HI govt:EN office:EN mai:HI tu:HI sops:EN implement:EN karwaale:HI,directives,implementation b karwaye,0.508,0.57
431,haa ache se acting mat karvaana ache kapde nahi dena ache makeup nahi dena ache dialogues nahi dena ache story bhi nahi dena lekin promo zaroor dena oh bhai promo apne paas hi rakhiye aapke aur bhi shows hai jinhe promos chahiye ghumhaikisikeypyaarmeiin,haa:HI ache:HI se:HI acting:EN mat:HI karvaana:HI ache:HI kapde:HI nahi:HI dena:HI ache:HI makeup:EN nahi:HI dena:HI ache:HI dialogues:EN nahi:HI dena:HI ache:HI story:EN bhi:HI nahi:HI dena:HI lekin:HI promo:EN zaroor:HI dena:HI oh:EN bhai:HI promo:EN apne:HI paas:HI hi:HI rakhiye:HI aapke:HI aur:HI bhi:HI shows:EN hai:HI jinhe:HI promos:EN chahiye:HI ghumhaikisikeypyaarmeiin:HI,promo,promo apne paas hi rakhiye,0.1,0.75
538,kal phone poora time haath mein rhega apne koi risk nahin lene ka apne ko jimin ka live miss nahin krna hai ekdm bhi,kal:HI phone:EN poora:HI time:EN haath:HI mein:HI rhega:HI apne:HI koi:HI risk:EN nahin:HI lene:HI ka:HI apne:HI ko:HI jimin:EN ka:HI live:EN miss:EN nahin:HI krna:HI hai:HI ekdm:HI bhi:HI,phone,poora time haath mein rhega apne koi risk nahin lene ka,0.574,0.582
270,ajittyagi yha sasta mahnga ki baat nhi baat ye h ki govt govt compies ko berbaad kr rhi hai aur apne frnds ko aage badha rhi hai,ajittyagi:HI yha:HI sasta:HI mahnga:HI ki:HI baat:HI nhi:HI baat:HI ye:HI h:EN ki:HI govt:EN govt:EN compies:HI ko:HI berbaad:HI kr:EN rhi:HI hai:HI aur:HI apne:HI frnds:EN ko:HI aage:HI badha:HI rhi:HI hai:HI,govt,compies ko berbaad kr rhi hai aur apne frnds ko aage badha rhi hai,0.05,0.75
242,7 wo kehte h na aap apne pyar ko 100 mile dur se bhi dkh skte,7:EN wo:HI kehte:HI h:EN na:HI aap:HI apne:HI pyar:HI ko:HI 100:EN mile:EN dur:HI se:HI bhi:HI dkh:HI skte:HI,pyar,apne pyar ko 100 mile dur se bhi dkh skte,0.586,0.433
472,07 dunder le le apne where the sun doesn t shine,07:EN dunder:EN le:HI le:HI apne:HI where:EN the:EN sun:HI doesn:EN t:EN shine:EN,07,dunder le le apne where the sun doesn t shine,0.365,0.667
565,ajeeb dunia ha dousru ki maa behun bv baiti ki tazleel ker k khush hotay hain or jub apne sath ho tu humderdi dhoond ruhay hotay hain ki ger ki orut k sath aisi giri hoi hurkat hoi tu phir rona cheehana ethics moral seekhana daikhnay like ho ga pura likha jahil,ajeeb:HI dunia:HI ha:HI dousru:HI ki:HI maa:HI behun:HI bv:EN baiti:HI ki:HI tazleel:HI ker:HI k:HI khush:HI hotay:HI hain:HI or:EN jub:HI apne:HI sath:HI ho:HI tu:HI humderdi:HI dhoond:HI ruhay:HI hotay:HI hain:HI ki:HI ger:HI ki:HI orut:HI k:HI sath:HI aisi:HI giri:HI hoi:HI hurkat:HI hoi:HI tu:HI phir:HI rona:HI cheehana:HI ethics:EN moral:EN seekhana:HI daikhnay:HI like:EN ho:HI ga:HI pura:HI likha:HI jahil:HI,jahil,pura likha,0.08,0.75
